Company, Job_Position, Location, Salary
"V-Work Sdn Bhd","Internship for IT Computer Students","Subang Jaya, Selangor","RM1,200 - RM1,200 per month"
"Averis Sdn Bhd","Internship for Computer Science Students","Kuala Lumpur, Kuala Lumpur","RM800 - RM1,000 per month"
"V-Work Sdn Bhd","Internship for IT Computer Students","Subang Jaya, Selangor","RM1,000 - RM1,000 per month"
"Welltech Utopia Sdn Bhd","Internship for computer/ IT students","Kuala Lumpur, Kuala Lumpur","RM1,200 - RM1,200 per month"
"Swisslog Malaysia Sdn Bhd","Internship for Computer / IT Student","Petaling","RM1,000 - RM1,200 per month"
"Stanta Mauser","Internship for Computer / IT Students","Shah Alam, Selangor","Unknown"
"See Hoy Chan Sdn Berhad","Internship for Computer/IT Students (3-6 months)","Damansara","Unknown"
"OTC TRAINING CENTRE SDN BHD","Internship for Computer / IT","Gelugor, Penang","Unknown"
"Finexus Group Sdn Bhd","INTERNSHIP FOR COMPUTER / IT STUDENTS","Kuala Lumpur, Kuala Lumpur","RM800 - RM1,200 per month"
"JMC Fleet Management Sdn Bhd","INTERNSHIP FOR IT","Selangor","Unknown"
